baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000001036.14	764.447191855983	0.581115380330786	0.0755806813793613	7.68867612365123	1.48665264902191e-14	3.25015248545701e-13
ENSG00000001461.17	171.426853289186	1.20591399094765	0.114958599894966	10.4899850211247	9.6043616972861e-26	5.14455289301128e-24
ENSG00000002079.14	3.72465844299868	4.42516824205677	0.91680517377545	4.82672695206737	1.38795207515042e-06	1.18815314726223e-05
ENSG00000002586.20	724.580616688079	1.08311142518952	0.12810090132944	8.45514289086896	2.78745787139606e-17	7.72799721290671e-16
ENSG00000002586.20_PAR_Y	724.580616688079	1.08311142518952	0.12810090132944	8.45514289086896	2.78745787139606e-17	7.72799721290671e-16
ENSG00000003147.19	46.9668909427886	1.01026683921279	0.226801008022973	4.45441952846374	8.41204719757206e-06	6.30503680176903e-05
ENSG00000003393.16	374.606662654999	0.512968801698548	0.154558287078287	3.31893430883275	0.000903616839790528	0.00439848528865044
ENSG00000003402.21	330.367818897043	2.1076137268925	0.124417041600494	16.9399119266965	2.28466434422746e-64	7.48568788837852e-62
ENSG00000003436.16	130.413505687695	1.56188620952863	0.238297478497557	6.55435474758768	5.58829784393523e-11	8.35232027871101e-10
ENSG00000005238.20	109.622746755736	0.981012080979955	0.22014872733413	4.45613332795256	8.34511431830854e-06	6.25672776037463e-05
ENSG00000005700.15	626.952417411118	0.867720337463567	0.093034990276971	9.3268170919383	1.09097911197679e-20	3.98903072696558e-19
ENSG00000005884.18	1899.15533184668	1.57121871984143	0.151708906608761	10.3567994454895	3.89787056906926e-25	1.99876781680993e-23
ENSG00000006062.18	44.9057675799297	0.579072783506556	0.212994093830172	2.71872695197019	0.00655336809476429	0.0244723096007709
ENSG00000006071.16	9.08471947150181	2.22658044928307	0.513403153363708	4.33690450612737	1.4450336680083e-05	0.000103506489777558
ENSG00000006327.14	483.159544034869	1.80803108103469	0.0845225224655364	21.3911159806182	1.61644985863769e-101	2.03907067417851e-98
ENSG00000006625.18	381.563686631696	0.503519496470689	0.107002631348845	4.70567396449475	2.53028627928276e-06	2.08480054017063e-05
ENSG00000006652.15	335.201745593263	0.954356473765979	0.129391482369958	7.37572872870619	1.63448521297354e-13	3.21908098658153e-12
ENSG00000006715.16	542.778340671003	1.14963704262444	0.132929738431762	8.64845636640283	5.22007041254302e-18	1.54937831103586e-16
ENSG00000006740.18	240.586659578472	0.527653811922603	0.145315801688538	3.63108351460323	0.000282233829519974	0.00154590347328344
ENSG00000006747.15	89.5000684241529	1.19115982253125	0.280190110610177	4.25125576322886	2.12575242051833e-05	0.000147742721259661
ENSG00000006756.16	165.689090331574	1.39298265808229	0.256662082602662	5.42730209291866	5.72122486663925e-08	5.93262565394335e-07
ENSG00000006837.12	3.05262740692543	2.63123698414946	0.926485134732328	2.84002072511357	0.00451106029280657	0.0177633120223532
ENSG00000007174.18	1.53855730551639	4.03314574407903	1.24253508416034	3.24590089687849	0.0011707958893433	0.00550876715633014
ENSG00000007237.19	418.213224643263	1.00714963924441	0.178665248763194	5.6370762989243	1.72961492324721e-08	1.92485464925469e-07
ENSG00000007255.10	37.6988712669123	1.00290320671182	0.218789909844357	4.58386407044668	4.56461033894309e-06	3.59427447694117e-05
ENSG00000007372.25	3.52087192658289	2.30096962134148	0.880183265849961	2.61419378283625	0.00894382931737661	0.0319118762287825
ENSG00000008083.14	432.980513019699	0.64390434050736	0.0899408001983145	7.15920182039281	8.11481452755184e-13	1.47925329274281e-11
ENSG00000008118.10	11.1264479243802	1.66837276163003	0.50080594523268	3.33137571051574	0.000864178808069551	0.0042348378943024
ENSG00000008513.16	623.489196028872	1.44704283521691	0.135505785196803	10.6788269822967	1.27877240924312e-26	7.15346986979927e-25
ENSG00000008988.11	3663.27765321369	0.503462998752109	0.0616462214276129	8.16697255878518	3.16224793098634e-16	7.97006523984559e-15
ENSG00000009307.17	3461.48552635791	0.552644814190071	0.104600890727647	5.28336623470074	1.26831480956642e-07	1.26725997348718e-06
ENSG00000010256.11	2034.65252164613	0.857044286739858	0.0739691006549949	11.5865176019547	4.82347321475521e-31	3.43761033149885e-29
ENSG00000010278.15	785.164817102129	0.884065467308806	0.0912822206687586	9.68496888914292	3.49314865791713e-22	1.43531999170344e-20
ENSG00000010310.9	17.4748569138707	1.43906165419125	0.486531943452235	2.95779480372912	0.00309848307619227	0.0128783574183286
ENSG00000010671.18	4.31127344523463	3.16935902257483	0.729873663106038	4.34233920578442	1.40973654746456e-05	0.000101097906071584
ENSG00000010810.18	260.90071320302	1.09664642427246	0.247703134314242	4.42726099251221	9.54372292086648e-06	7.08797720254756e-05
ENSG00000010818.11	37.0897872242862	1.52104410925441	0.291716883739936	5.21411064643901	1.8470120358263e-07	1.80194379937594e-06
